指導教員,修士論文主題
NguyenVanTriet,周波数応答に基づいた最適化によるFOPID制御のゲイン決定法
NguyenVanTriet,アフィン系の座標変換を伴わないフロベニウスの定理によるモデル低次元化
NguyenVanTriet,ペロブスカイト太陽電池のヒステリシス特性を考慮した最大電力領域追従制御
Phung-DucTuan,閉鎖型待ち行列ネットワークモデルを用いたシェアサイクルの運用分析
Phung-DucTuan,Analysis of Multi-Server Queueing Models with Two Power-Saving Modes
Phung-DucTuan,Mathematical Analysis of Load Balancing Models for Heterogeneous Parallel Server Systems in Cloud Environments
Phung-DucTuan,確率的サービス率を有する待ち行列モデルによるセルフレジ運用の解析
YEMVibol,水を利用しないVR足湯感覚提示手法とそのリラクゼーション効果の検討
アランニャクラウス,"Modeling STDP-Driven Neuronal Activity and Connectivity
Dynamics in Recurrent Spiking Neural Networks"
"アランニャクラウス
","Analysis of Event Design on Genre Development in Music
Distribution Ecosystems using Multi-Agent Simulation"
"アランニャクラウス
",Evolution of self-organizing patterns in Lenia using CPPNs
阿武秀和,学校選択問題におけるPriority-Neutral解およびPriority-Efficient解の整合性に関する研究
阿武秀和,不確実性下の同質財割当におけるRandomized Uniform Rule の特徴付けについて
阿部洋丈,"中軌道リング型衛星コンステレーションにおける高可用性ルー
ティング手法に関する研究"
阿部洋丈,"進化計算手法を取り入れたKubernetesスケジューリングアルゴリ
ズムの提案"
阿部洋丈,"Quality Diversity探索を用いた多様な研究アイディア生成手法の提
案"
阿部洋丈,植物の生体信号に基づく人間の共感的インタラクション設計
伊達央,走行可能領域のゼロショット認識により市街地図のみで実現する移動ロボットの自律走行
伊達央,複数移動ロボットの広範囲床面自動検査のための集合被覆経路計画
伊達央,自律移動ロボットにおける草質の回避不要性を考慮したLiDARベースのナビゲーション
伊達央,Range-based 6-DoF Monte Carlo SLAM on GPU
伊達央,離散値入力を直接扱うサンプリングベースモデル予測制御の設計と評価
伊達央,中空索状ソフトマニピュレータと三輪アクティブキャスタによるゴミ拾いロボット
伊達央,ペースメイキングロボットにおけるランナーのペース推定と高速走行の安定化
伊達央,３次元メッシュに基づく衝突予測を用いたモンテカルロモデル予測制御によるUAV制御
伊藤誠,運転自動化レベルの違いによるドライバ視行動の差異：マルコフモデルに基づく逆強化学習による視線遷移方策の推定
伊藤誠,航空路管制タスクにおける文字起こし機能の導入がコミュニケーションに与える影響
伊藤誠,Roles of Agreeableness and Openness in User?Chatbot Interaction
宇津呂武仁,大規模言語モデルに基づく特許請求項翻訳
宇津呂武仁,大規模言語モデルを用いたペルソナ情報収集インタビューに関する研究
宇津呂武仁,例示および思考連鎖を適用したLLMによる動画コメント・フィルタリング
宇津呂武仁,対話を手がかりとする性格推定における複数LLMの利用法に関する研究
宇津呂武仁,Developing a Parallel Corpus of Japanese-English Literature
宇津呂武仁,大規模言語モデルを用いた接客訓練対話システムの研究
宇津呂武仁,LLMを用いた有価証券報告書の表質問応答
羽田野祐子,群馬県赤城大沼の湖水と魚類体内におけるセシウム動態解析
雨宮護,キャンパス内広場における自転車の通行・駐輪排除とストリートファニチャ設置による利用者の行動特性の変化
雨宮護,大学への犯罪被害報告行動の規定要因：大学生のキャンパス内被害を対象に
雨宮護,職住距離・勤務時間・退勤時間とアクティビティスペースとの関連：属性付き人流データを用いた検討
雨宮護,冒険遊び場における犯罪被害と防犯対策の実態：自由な遊びと防犯性の両立に向けて
浦田淳司,充電器設置時の合意形成を考慮した集合住宅におけるEV普及過程
浦田淳司,活動滞在時間分布を考慮したバスサービス設計
永谷圭司,"土工事現場における建設機械の遠隔化・自動化のための移動ロ
ボットによる地形情報取得と死角解消技術の研究"
延原肇,農業圃場の合成データを用いた株欠損検出モデルの性能向上限界の解明とその原因の考察
延原肇,ピンポイント除草用ドローンに搭載可能な紙とばねを活用した逆単安定型アームの設計
延原肇,上部貨物積載型UAVにおけるロータ角度変化による推力向上とその飛行実証
延原肇,極めて短時間の対面接触がその後のオンライン信頼関係構築に及ぼす効果の検証
延原肇,HMD読書における視線に連動した文章開示が集中に与える影響の調査
延原肇,ショート動画が誘発する断続的かつ無意識的な情動反応が主体的思考能力低下に及ぼす影響の分析
延原肇,機体変形により安定した近接飛行を実現できるアクティブ自己気流制御ドローン
遠藤結城,"スタイルと用例で条件付け可能な画像内文字生成のデータセント
リックアプローチ"
遠藤靖典,目的関数最適化に基づくラフクラスタリングの展開
塩川浩昭,"グラフデータベースに対するWorst-Case Optimal Joinの高速化に
関する研究"
塩川浩昭,"高次元データに対する高速な類似検索のための索引構築に関する
研究"
岡田幸彦,中小企業デフォルト予測における月次流動性預金残高特徴量の有効性検証
岡田幸彦,仕訳データの異常検知モデルの高度化：Data Collaboration解析と摘要欄の活用
岡田幸彦,仕訳データを用いた利速測定の研究
岡田幸彦,地域要因を用いた慢性腎臓病患者の悪化予測の研究
岡田幸彦,生体情報とテンソルデータ解析によるコンサート満足度の研究
岡田幸彦,特異値分解を用いた効率的な分散データファインチューニング手法の提案
岡田幸彦,地域愛着の規定因に関する実証分析：つながりの影響の検討
岡島敬一,施設特性を考慮した避難施設へのエネルギーシステム導入のための低炭素レジリエンス複合評価
岡島敬一,地方の複数部門への水素普及に向けた地域特性の違いによる水素需給分析
岡本直久,観光客のセグメンテーションとマーケティングへの応用可能性に関する研究
岡本直久,道路改良事業に伴う旅行時間信頼性の変化に関する研究
岡本直久,地域公共交通サービス変化が活動機会および利用者意識に与えた影響に関する研究
岡本直久,商用FCVの普及に向けた水素ステーション配置とCO?排出量の予測
岡本直久,日本におけるオーバーツーリズムの種類および対策に関する研究
岡本直久,基幹交通の組み合わせ利用を考慮した交通手段選択に関する研究
岡本直久,駅舎デザインの変遷とその変化要因に関する考察
河合新,作物列追従制御に向けた物理法則に基づく油圧回路のHammersteinモデリング
河合新,サンプル点間応答の零点に基づく解釈と周波数整形
